"word","count","Seminars","Workshops"," Job Networking","Workouts","Social events","Arts"
"research",31,1,0,0,0,0,0
"exhibit",31,0,0,0,0,0,1
"art",29,0,0,0,0,0,1
"music",27,0,0,0,0,0,1
"work",26,0,1,1,0,0,1
"event",25,0,0,0,0,0,0
"studi",24,0,0,0,0,0,0
"write",23,0,1,1,0,0,0
"public",20,0,0,0,0,0,0
"station",20,0,0,0,0,0,0
"scienc",20,1,0,0,0,0,0
"free",20,0,0,0,0,0,0
"provid",19,0,0,0,0,0,0
"program",18,0,0,0,0,0,1
"communiti",18,0,0,0,0,0,0
"american",18,0,0,0,0,0,0
"yoga",18,0,0,0,1,0,0
"symposium",18,1,0,0,0,0,0
"new",17,0,0,0,0,0,0
"particip",17,0,0,0,0,0,0
"champaign",17,0,0,0,0,0,0
"graduat",17,0,0,0,0,1,0
"tour",17,0,0,0,0,1,1
"design",15,0,0,0,0,0,0
"servic",15,0,0,0,0,0,0
"engin",14,0,0,0,0,0,0
"attend",14,0,0,0,0,0,0
"final",14,0,0,0,0,0,0
"market",14,0,0,0,0,0,0
"avail",13,0,0,0,0,0,0
"women",13,0,0,0,0,0,0
"talk",13,0,0,0,0,0,0
"perform",13,0,0,0,0,0,0
"societi",13,0,0,0,0,0,0
"make",13,0,0,0,0,0,0
"chang",13,0,0,0,0,0,0
"technolog",13,0,0,0,0,0,0
"serv",13,0,0,0,0,0,0
"price",13,0,0,0,0,0,0
"present",13,0,0,0,0,0,0
"workshop",13,0,0,0,0,0,0
"space",12,0,0,0,0,0,0
"solar",12,0,0,0,0,0,0
"come",12,0,0,0,0,0,0
"spring",12,0,0,0,0,0,0
"charg",12,0,0,0,0,0,0
"folk",12,0,0,0,0,0,0
"educ",12,0,0,0,0,0,0
"project",11,0,0,0,0,0,0
"depart",11,0,0,0,0,0,0
"krannert",11,0,0,0,0,0,0
"summer",11,0,0,0,0,0,0
"east",11,0,0,0,0,0,0
"https",11,0,0,0,0,0,0
"focus",11,0,0,0,0,0,0
"ncsa",11,0,0,0,0,0,0
"user",11,0,0,0,0,0,0
"museum",10,0,0,0,0,0,0
"special",10,0,0,0,0,0,0
"system",10,0,0,0,0,0,0
"narrat",10,0,0,0,0,0,0
"session",10,0,0,0,0,0,0
"school",10,0,0,0,0,0,0
"retreat",10,0,0,0,0,0,0
"support",10,0,0,0,0,0,0
"book",10,0,0,0,0,0,0
"develop",10,0,0,0,0,0,0
"academ",9,0,0,0,0,0,0
"artist",9,0,0,0,0,0,0
"band",9,0,0,0,0,0,0
"fair",9,0,0,0,0,0,0
"allerton",9,0,0,0,0,0,0
"build",9,0,0,0,0,0,0
"hour",9,0,0,0,0,0,0
"onlin",9,0,0,0,0,0,0
"bike",9,0,0,0,0,0,0
"look",9,0,0,0,0,0,0
"asia",9,0,0,0,0,0,0
"question",9,0,0,0,0,0,0
"farm",9,0,0,0,0,0,0
"convoc",9,0,0,0,0,0,0
"agricultur",9,0,0,0,0,0,0
"annual",9,0,0,0,0,0,0
"park",9,0,0,0,0,0,0
"wide",9,0,0,0,0,0,0
"energi",9,0,0,0,0,0,0
"home",9,0,0,0,0,0,0
"meet",9,0,0,0,0,0,0
"offer",9,0,0,0,0,0,0
"ceremoni",9,0,0,0,0,0,0
"convers",9,0,0,0,0,0,0
"held",9,0,0,0,0,0,0
"repres",9,0,0,0,0,0,0
"discuss",9,0,0,0,0,0,0
"network",9,0,0,0,0,0,0
"jazz",9,0,0,0,0,0,0
"practic",9,0,0,0,0,0,0
"human",9,0,0,0,0,0,0
"local",9,0,0,0,0,0,0
