doc_id,title,url,event_type,sponsor,location,date,speaker,views,originating_calendar,topics,cost,contact,e-mail,phone,registration,description,seminars,workshops,job_networking,workouts,social_events,arts
0,BODYPUMP *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296976,Other,Campus Recreation,ARC MP2,"Apr 30, 2018   6:30 am   7:30 am",Courtney,8,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
1,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33293498,Other,Campus Recreation,ARC Cycle Studio,"Apr 30, 2018   6:30 am   7:30 am",Kelsey,158,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2,Barre Above *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33293514,Other,Campus Recreation,ARC MP4,"Apr 30, 2018   12:10 pm   12:50 pm",Kia,253,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
3,H2O Cardio,http://calendars.illinois.edu/detail/4046?eventId=33298413,Other,Campus Recreation,CRCE Pool,"Apr 30, 2018   5:10 pm   5:50 pm",Jeanne,2,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
4,BODYATTACK,http://calendars.illinois.edu/detail/4046?eventId=33297861,Other,Campus Recreation,CRCE MP1&2,"Apr 30, 2018   5:30 pm   6:15 pm",Coltrane,4,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
5,BODYPUMP *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33297045,Other,Campus Recreation,ARC MP2,"Apr 30, 2018   5:30 pm   6:30 pm",Kelsey,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
6,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33293531,Other,Campus Recreation,ARC Cycle Studio,"Apr 30, 2018   5:30 pm   6:15 pm",Annmarie,140,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
7,BODYCOMBAT,http://calendars.illinois.edu/detail/4046?eventId=33297875,Other,Campus Recreation,CRCE MP1&2,"Apr 30, 2018   6:30 pm   7:30 pm",Blanka,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
8,Zumba,http://calendars.illinois.edu/detail/4046?eventId=33293577,Other,Campus Recreation,ARC MP2,"Apr 30, 2018   6:45 pm   7:45 pm",Pedro,6,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
9,Pulsepointe Barre *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33298279,Other,Campus Recreation,ARC MP5,"Apr 30, 2018   7:30 pm   8:30 pm",Casey,8,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
10,BODYATTACK Express,http://calendars.illinois.edu/detail/4046?eventId=33293169,Other,Campus Recreation,ARC MP2,"May 1, 2018   6:30 am   7:15 am",Scotty,1,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
11,Barre Above *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33292559,Other,Lauren,ARC MP4,"May 1, 2018   12:10 pm   12:50 pm",NA,3,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
12,HIIT,http://calendars.illinois.edu/detail/4046?eventId=33293185,Other,Campus Recreation,CRCE MP1,"May 1, 2018   12:15 pm   12:45 pm",Maria,4,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
13,Vinyasa Yoga *Bring a Mat*,http://calendars.illinois.edu/detail/4046?eventId=33297940,Other,Campus Recreation,ARC MP2,"May 1, 2018   12:15 pm   12:55 pm",Marissa,6,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
14,BODYATTACK,http://calendars.illinois.edu/detail/4046?eventId=33293356,Other,Campus Recreation,CRCE MP1&2,"May 1, 2018   5:30 pm   6:30 pm",Blanka,NA,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
15,BODYFLOW  *Bring Yoga Mat*,http://calendars.illinois.edu/detail/4046?eventId=33299259,Other,Campus Recreation,ARC MP2,"May 1, 2018   5:30 pm   6:30 pm",Annmarie,2,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
16,Cycle *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296785,Other,Campus Recreation,ARC Cycle Studio,"May 1, 2018   5:30 pm   6:15 pm",Courtney,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
17,DWE,http://calendars.illinois.edu/detail/4046?eventId=33292996,Other,Jeanne,ARC Pool,"May 1, 2018   5:30 pm   6:30 pm",NA,6,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
18,POUND,http://calendars.illinois.edu/detail/4046?eventId=33298378,Other,Chris,ARC MP5,"May 1, 2018   5:30 pm   6:30 pm",NA,2,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
19,BODYPUMP *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296892,Other,Campus Recreation,ARC MP2,"May 1, 2018   6:45 pm   7:45 pm",Courtney,NA,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
20,Zumba,http://calendars.illinois.edu/detail/4046?eventId=33293109,Other,Campus Recreation,CRCE MP1&2,"May 1, 2018   6:45 pm   7:45 pm",Pedro,3,Group Fitness Schedule - CRCE Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
21,TRX HIIT *Call Ahead*,http://calendars.illinois.edu/detail/4046?eventId=33296852,Other,Campus Recreation,ARC MP4,"May 2, 2018   6:30 am   7:15 am",Kelsey,5,Group Fitness Schedule - ARC Classes,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
