"word","count","seminars","workshops","job_networking","workouts","social_events","arts"
"research",31,1,0,0,0,0,0
"exhibit",31,0,0,0,0,0,1
"art",29,0,0,0,0,0,1
"music",27,0,0,0,0,0,1
"work",26,0,1,1,0,0,1
"write",23,0,1,1,0,0,0
"scienc",20,1,0,0,0,0,0
"program",18,0,0,0,0,0,1
"yoga",18,0,0,0,1,0,0
"symposium",18,1,0,0,0,0,0
"graduat",17,0,0,0,0,1,0
"tour",17,0,0,0,0,1,1
"servic",15,0,0,0,0,1,0
"engin",14,0,0,1,0,0,0
"market",14,0,0,0,0,1,0
"talk",13,1,0,0,0,0,0
"perform",13,0,0,0,0,0,1
"societ",13,0,0,0,0,1,0
"workshop",13,0,1,0,0,0,0
"solar",12,0,0,0,0,1,0
"folk",12,0,0,0,0,0,1
"project",11,0,0,0,0,1,0
"krannert",11,0,0,0,0,0,1
"ncsa",11,1,0,0,0,0,0
"museum",10,0,0,0,0,0,1
"system",10,0,1,0,0,0,0
"retreat",10,0,1,0,0,0,0
"book",10,0,0,0,0,0,1
"artist",9,0,0,0,0,0,1
"band",9,0,0,0,0,0,1
"fair",9,0,0,1,0,0,0
"allerton",9,0,0,0,0,1,0
"onlin",9,1,1,0,0,0,0
"bike",9,0,0,0,1,0,0
"agricultur",9,0,0,0,0,0,1
"energi",9,0,0,0,1,0,0
"convers",9,0,1,0,0,0,0
"jazz",9,0,0,0,0,0,1
"practic",9,0,1,0,0,0,0
